"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Shohei Ohtani","LAD","SP,DH","118.7","143","9","0","3.37","1.11","44","93","39","14","23","23","5","1","100%"
"Tarik Skubal","DET","SP","193.3","234","14","0","2.72","0.98","58","149","40","19","31","31","7","1","99%"
"Paul Skenes","PIT","SP","186.4","221","13","0","2.80","1.04","58","147","48","15","31","31","7","1","99%"
"Garrett Crochet","BOS","SP","190.5","233","14","0","3.01","1.07","64","154","49","20","31","31","8","1","98%"
"Cristopher Sanchez","PHI","SP","192.4","189","13","0","3.19","1.15","68","173","47","16","31","31","8","1","99%"
"Yoshinobu Yamamoto","LAD","SP","159.8","174","12","0","3.28","1.12","58","130","48","16","27","27","6","0","99%"
"Hunter Brown","HOU","SP","179.9","194","12","0","3.44","1.18","69","153","59","19","31","31","8","1","93%"
"Chris Sale","ATL","SP","159.6","195","11","0","3.23","1.10","57","133","43","17","27","27","6","0","99%"
"Logan Gilbert","SEA","SP","167.8","187","11","0","3.37","1.06","63","138","40","22","29","29","7","1","97%"
"Bryan Woo","SEA","SP","187.1","189","13","0","3.40","1.06","71","157","40","24","31","31","9","0","99%"
"Logan Webb","SF","SP","198.1","189","13","0","3.27","1.17","72","187","45","16","32","32","9","1","92%"
"Cole Ragans","KC","SP","156.8","195","11","0","3.37","1.15","59","125","56","17","28","28","7","0","86%"
"Jacob deGrom","TEX","SP","162.9","180","11","0","3.48","1.06","63","134","39","22","28","28","8","0","99%"
"Max Fried","NYY","SP","183.5","173","14","0","3.31","1.17","68","161","54","17","30","30","8","1","99%"
"Mason Miller","SD","RP","65.1","101","4","33","2.52","0.99","18","39","25","6","63","0","2","0","99%"
"Freddy Peralta","NYM","SP","165.8","184","12","0","3.78","1.20","70","137","62","22","30","30","8","0","97%"
"Edwin Diaz","LAD","RP","65.3","90","5","37","3.04","1.06","22","47","23","7","64","0","2","0","76%"
"George Kirby","SEA","SP","171.4","168","12","0","3.55","1.11","68","156","33","21","30","30","8","0","98%"
"Jesus Luzardo","PHI","SP","177.3","198","12","0","3.66","1.18","72","154","55","22","31","31","9","0","94%"
"Joe Ryan","MIN","SP","168.4","185","11","0","3.80","1.11","71","146","40","25","29","29","9","0","97%"
"Dylan Cease","TOR","SP","170.2","200","11","0","3.67","1.21","69","142","64","20","31","31","9","0","99%"
"Framber Valdez","DET","SP","190.4","178","13","0","3.47","1.23","73","170","64","16","30","30","9","2","90%"
"Cade Smith","CLE","RP","69.4","89","5","31","2.89","1.07","22","53","21","6","70","0","3","0","97%"
"Andres Munoz","SEA","RP","63.1","80","4","32","2.90","1.12","20","45","25","5","64","0","3","0","92%"
"Jhoan Duran","PHI","RP","66.7","78","5","32","2.89","1.11","21","54","21","5","68","0","3","0","95%"
"Kyle Bradish","BAL","SP","142.3","153","9","0","3.59","1.19","57","123","45","16","26","27","7","0","78%"
"Eury Perez","MIA","SP","137.7","152","8","0","3.90","1.18","60","115","47","19","27","27","8","0","77%"
"Nolan McLean","NYM","SP","150.6","145","10","0","3.83","1.28","64","135","58","16","26","26","8","0","96%"
"Nick Pivetta","SD","SP","169.4","183","10","0","3.91","1.16","74","145","51","26","29","29","9","0","74%"
"Kevin Gausman","TOR","SP","179.2","176","12","0","3.94","1.21","78","165","53","24","30","30","9","1","97%"
"David Bednar","NYY","RP","63.3","77","4","33","3.25","1.12","23","49","21","7","64","0","3","0","90%"
"Aroldis Chapman","BOS","RP","59.8","83","4","31","3.00","1.14","20","42","26","5","62","0","3","0","95%"
"Devin Williams","NYM","RP","62.9","84","4","31","3.08","1.14","22","45","27","6","64","0","3","0","84%"
"Sonny Gray","BOS","SP","171.9","180","11","0","3.73","1.20","71","161","46","21","30","30","9","0","88%"
"Tyler Glasnow","LAD","SP","130.0","152","9","0","3.64","1.18","53","105","48","16","23","23","6","0","94%"
"Nathan Eovaldi","TEX","SP","162.4","156","11","0","3.62","1.14","65","144","41","19","27","27","8","1","90%"
"Jacob Misiorowski","MIL","SP","136.5","157","9","0","3.96","1.28","60","111","64","17","30","25","8","0","98%"
"Emmet Sheehan","LAD","SP","133.9","155","9","0","3.80","1.16","57","110","45","19","34","24","6","0","73%"
"Zack Wheeler","PHI","SP","141.2","160","10","0","3.27","1.08","51","115","37","16","23","23","6","0","96%"
"Michael King","SD","SP","157.0","164","10","0","3.84","1.24","67","139","56","20","28","29","8","1","92%"
"Brandon Woodruff","MIL","SP","145.6","154","10","0","3.76","1.14","61","126","40","20","26","27","8","0","80%"
"Nick Lodolo","CIN","SP","152.4","155","9","0","4.03","1.19","68","141","41","21","28","28","9","1","66%"
"Chase Burns","CIN","SP,RP","116.8","140","8","0","3.63","1.16","47","100","36","15","26","21","6","1","96%"
"Cam Schlittler","NYY","SP","126.7","127","8","0","4.02","1.29","57","114","49","15","24","24","7","0","98%"
"Luis Castillo","SEA","SP","177.9","167","11","0","3.88","1.19","77","162","50","25","30","30","9","0","64%"
"Ryan Helsley","BAL","RP","62.9","72","4","27","3.51","1.20","25","52","23","7","62","0","3","0","72%"
"Sandy Alcantara","MIA","SP","179.8","149","10","0","4.12","1.27","82","174","53","21","30","30","11","1","86%"
"Drew Rasmussen","TB","SP","154.9","140","10","0","3.64","1.17","63","140","41","18","30","30","8","0","88%"
"Daniel Palencia","CHC","RP","63.8","73","4","30","3.64","1.24","26","52","27","7","63","0","3","0","65%"
"Ryan Pepiot","TB","SP","167.6","171","10","0","4.05","1.22","75","145","60","24","31","31","10","0","39%"
"Raisel Iglesias","ATL","RP","64.7","69","4","27","3.62","1.14","26","56","17","8","66","0","3","0","89%"
"Spencer Strider","ATL","SP","154.5","183","10","0","3.95","1.21","68","134","54","20","27","27","8","0","90%"
"Jeff Hoffman","TOR","RP","62.7","75","4","26","3.64","1.17","25","50","23","8","64","0","3","0","52%"
"Blake Snell","LAD","SP","130.3","162","10","0","3.46","1.22","50","102","57","14","23","23","6","0","78%"
"MacKenzie Gore","TEX","SP","161.3","182","10","0","3.87","1.25","69","141","61","20","29","29","9","0","70%"
"Robbie Ray","SF","SP","170.9","176","10","0","4.17","1.28","79","153","66","24","30","30","10","1","79%"
"Ranger Suarez","BOS","SP","167.1","150","11","0","3.68","1.25","68","161","47","17","28","28","8","0","85%"
"Shota Imanaga","CHC","SP","154.6","142","10","0","4.09","1.15","70","144","35","27","27","27","8","0","94%"
"Gavin Williams","CLE","SP","166.0","169","10","0","3.98","1.31","73","146","71","21","30","30","9","0","94%"
"Bubba Chandler","PIT","SP","143.5","136","8","0","4.20","1.31","67","135","54","18","33","26","8","0","42%"
"Trevor Rogers","BAL","SP","149.0","129","9","0","4.08","1.29","68","143","49","18","27","27","8","1","47%"
"Tanner Bibee","CLE","SP","177.3","166","11","0","3.94","1.22","78","164","53","23","30","30","10","1","68%"
"Pete Fairbanks","MIA","RP","60.1","62","3","27","3.53","1.21","24","51","21","6","60","0","3","0","57%"
"Emilio Pagan","CIN","RP","65.3","72","3","27","3.93","1.18","29","55","22","10","66","0","3","0","59%"
"Edward Cabrera","CHC","SP","138.3","148","9","0","3.89","1.25","60","118","55","16","26","26","7","0","64%"
"Jack Flaherty","DET","SP","159.3","176","10","0","4.01","1.25","71","143","56","22","29","29","9","0","45%"
"Tatsuya Imai","HOU","SP","147.6","150","8","0","4.29","1.33","70","133","64","19","26","26","8","3","27%"
"Carlos Rodon","NYY","SP","145.3","152","10","0","3.98","1.22","64","124","53","20","26","26","8","0","72%"
"Aaron Nola","PHI","SP","169.1","167","11","0","4.15","1.22","78","161","45","25","29","29","9","0","50%"
"Cade Horton","CHC","SP","129.2","113","8","0","4.06","1.25","58","118","43","17","24","24","7","0","18%"
"Trey Yesavage","TOR","SP","114.5","132","7","0","3.79","1.24","48","93","49","14","29","21","6","0","80%"
"Carlos Estevez","KC","RP","62.7","56","3","29","4.24","1.27","30","58","22","8","63","0","3","0","39%"
"Ryan Walker","SF","RP","62.2","66","4","28","3.48","1.19","24","55","20","6","62","0","3","0","22%"
"Kenley Jansen","DET","RP","57.8","59","3","24","3.98","1.21","26","49","21","8","59","0","3","0","65%"
"Shane Baz","BAL","SP","152.5","150","9","0","4.20","1.28","71","141","54","21","28","28","9","0","30%"
"Josh Hader","HOU","RP","55.1","76","4","27","3.21","1.07","20","38","21","7","54","0","2","0","78%"
"Kris Bubic","KC","SP","140.7","137","9","0","3.77","1.26","59","131","47","15","30","24","7","0","53%"
"Matthew Boyd","CHC","SP","163.0","147","10","0","3.93","1.21","71","150","47","21","29","29","9","0","49%"
"Shane McClanahan","TB","SP","126.8","135","8","0","3.61","1.17","51","109","39","16","23","23","7","0","78%"
"Zac Gallen","ARI","SP","179.9","168","12","0","4.11","1.27","82","171","59","23","31","31","10","0","50%"
"Trevor Megill","MIL","RP","62.4","76","4","16","3.41","1.17","24","50","23","7","62","0","3","0","52%"
"Andrew Abbott","CIN","SP","167.9","153","10","0","4.21","1.26","78","159","53","26","29","29","10","1","53%"
"Abner Uribe","MIL","RP","69.2","81","4","18","3.12","1.20","24","53","31","5","69","0","3","0","55%"
"Gerrit Cole","NYY","SP","123.3","124","8","0","3.84","1.17","53","108","36","17","21","21","6","1","84%"
"Jack Leiter","TEX","SP","152.9","147","9","0","4.31","1.30","73","137","62","21","29","29","9","0","26%"
"Dennis Santana","PIT","RP","66.3","61","4","24","3.93","1.26","29","60","23","7","66","0","3","0","33%"
"Kodai Senga","NYM","SP","126.8","127","8","0","3.97","1.32","56","111","56","15","29","22","7","0","10%"
"Shane Smith","CWS","SP","157.4","148","8","0","4.26","1.29","74","144","59","21","29","29","10","0","4%"
"Jose Soriano","LAA","SP","171.0","156","10","0","3.82","1.34","73","157","73","14","31","30","10","0","95%"
"Merrill Kelly","ARI","SP","161.7","145","10","0","4.06","1.26","73","155","49","21","28","28","9","0","38%"
"Ryne Nelson","ARI","SP,RP","156.2","129","9","0","4.18","1.26","73","154","43","21","33","27","8","0","38%"
"Connelly Early","BOS","SP","44.7","45","3","0","3.72","1.28","18","40","17","4","15","7","2","0","38%"
"Ryan Weathers","NYY","SP","115.9","110","7","0","4.08","1.27","53","106","40","16","30","20","6","0","63%"
"Seranthony Dominguez","CWS","RP","61.3","69","3","20","3.88","1.29","26","51","28","7","64","0","4","0","39%"
"Griffin Jax","TB","SP,RP","66.1","83","4","16","3.01","1.08","22","53","19","6","67","0","3","0","30%"
"Noah Cameron","KC","SP","149.7","127","9","0","4.25","1.31","71","146","49","21","27","27","9","0","13%"
"Joe Musgrove","SD","SP","138.9","132","8","0","3.92","1.20","61","130","36","18","25","25","8","0","15%"
"Bryan Abreu","HOU","RP","68.0","90","4","9","3.19","1.17","24","51","29","7","68","0","3","0","29%"
"David Peterson","NYM","SP,RP","161.5","145","10","0","3.94","1.34","71","155","62","15","29","29","8","1","7%"
"Casey Mize","DET","SP","143.3","125","9","0","4.13","1.26","66","141","40","19","27","27","8","0","45%"
"Bryce Miller","SEA","SP","141.6","127","9","0","4.12","1.21","65","130","42","21","26","26","8","0","29%"
"Parker Messick","CLE","SP","125.0","116","7","0","4.11","1.30","57","120","43","16","23","23","8","0","91%"
"Cody Ponce","TOR","SP,RP","145.5","150","8","0","4.08","1.25","66","135","47","20","36","23","8","0","3%"
"Shane Bieber","TOR","SP","114.5","105","7","0","3.81","1.18","48","108","28","15","25","19","6","0","32%"
"Hunter Greene","CIN","SP","78.6","96","5","0","3.68","1.12","32","63","26","11","14","14","4","0","51%"
"Robert Suarez","ATL","RP","65.8","68","4","9","3.59","1.18","26","57","20","7","66","0","3","0","62%"
"Joey Cantillo","CLE","SP,RP","132.6","140","7","0","3.90","1.31","57","117","57","16","42","21","7","0","30%"
"Will Warren","NYY","SP","124.3","122","7","0","4.26","1.31","59","118","45","17","35","21","7","0","81%"
"Mitch Keller","PIT","SP","176.0","154","10","0","4.28","1.29","84","175","53","22","31","31","11","0","53%"
"Braxton Ashcraft","PIT","SP,RP","132.0","119","7","0","3.94","1.29","58","129","42","14","37","22","7","0","72%"
"Clay Holmes","NYM","SP","153.3","125","10","0","3.96","1.35","68","149","58","14","28","27","9","0","34%"
"Mike Burrows","HOU","SP,RP","131.3","131","7","0","4.14","1.26","60","121","45","19","30","25","7","0","10%"
"Brady Singer","CIN","SP","168.8","157","10","0","4.34","1.30","81","164","55","24","31","31","11","0","10%"
"Sean Manaea","NYM","SP,RP","123.2","128","7","0","4.07","1.21","56","110","39","18","36","20","6","0","7%"
"Robert Garcia","TEX","RP","62.7","68","4","20","3.59","1.21","25","54","22","7","65","0","3","0","6%"
"Andrew Painter","PHI","SP","111.6","97","6","0","4.66","1.38","58","113","41","17","29","20","7","0","13%"
"Yusei Kikuchi","LAA","SP","168.0","169","9","0","4.28","1.33","80","162","60","25","31","31","10","0","11%"
"Roki Sasaki","LAD","SP","111.8","109","7","0","4.19","1.31","52","102","44","14","32","19","6","1","28%"
"Grayson Rodriguez","LAA","SP","109.4","117","6","0","3.94","1.24","48","100","36","14","20","20","7","0","13%"
"Michael Wacha","KC","SP","165.6","129","10","0","4.32","1.29","80","165","49","22","29","29","10","0","75%"
"Brayan Bello","BOS","SP","157.1","129","10","0","4.26","1.35","74","156","55","18","28","28","9","0","7%"
"Zebby Matthews","MIN","SP","102.7","101","6","0","4.10","1.24","47","101","27","15","27","18","6","0","21%"
"Logan Henderson","MIL","SP","91.0","93","6","0","4.15","1.22","42","82","29","14","26","15","5","0","28%"
"Zach Eflin","BAL","SP","147.2","114","9","0","4.38","1.25","72","154","29","23","31","25","9","0","1%"
"Brandon Pfaadt","ARI","SP,RP","164.7","145","10","0","4.37","1.27","80","170","39","24","29","29","10","0","2%"
"Cade Cavalli","WSH","SP","133.0","114","7","0","4.29","1.35","63","132","47","16","25","25","8","0","11%"
"Chris Bassitt","BAL","SP","169.2","152","10","0","4.31","1.33","81","166","58","23","34","29","10","1","9%"
"Reynaldo Lopez","ATL","SP,RP","132.3","134","9","0","3.96","1.27","58","121","47","16","31","23","7","0","7%"
"Quinn Priester","MIL","SP,RP","125.3","104","8","0","4.11","1.30","57","122","41","15","22","22","7","0","10%"
"Grant Taylor","CWS","SP,RP","84.7","101","5","5","3.24","1.19","31","69","32","7","70","3","4","0","6%"
"Edwin Uceta","TB","RP","60.0","72","3","11","3.73","1.19","25","49","22","8","58","0","3","0","5%"
"Riley O'Brien","STL","RP","62.1","64","3","14","3.73","1.31","26","54","27","5","60","0","3","0","86%"
"Reid Detmers","LAA","SP,RP","137.9","152","8","0","4.18","1.28","64","126","51","19","32","24","8","0","29%"
"Bailey Ober","MIN","SP","157.2","142","9","0","4.35","1.21","76","152","38","26","28","28","9","1","40%"
"Luis Severino","ATH","SP","168.8","135","9","0","4.57","1.34","86","172","54","24","29","29","10","0","14%"
"Seth Lugo","KC","SP","161.0","135","9","0","4.43","1.33","79","161","53","24","28","28","10","0","40%"
"Mick Abel","MIN","SP","114.9","104","6","0","4.63","1.42","59","111","52","15","29","21","7","0","9%"
"Tyler Mahle","SF","SP","129.5","107","7","0","4.11","1.29","59","126","41","16","24","24","8","0","5%"
"Max Meyer","MIA","SP","126.1","117","7","0","4.28","1.31","60","124","42","17","28","23","8","0","55%"
"Jameson Taillon","CHC","SP","144.5","112","9","0","4.44","1.24","71","144","35","24","26","26","9","0","17%"
"Chad Patrick","MIL","SP,RP","140.9","133","8","0","4.34","1.28","68","134","47","22","27","26","8","0","8%"
"Ian Seymour","TB","SP,RP","114.5","111","6","0","4.04","1.22","51","105","35","16","38","17","6","0","9%"
"Clayton Beeter","WSH","RP","62.4","72","3","16","3.88","1.34","27","50","33","7","57","0","3","0","3%"
"Cristian Javier","HOU","SP","139.5","128","8","0","4.68","1.34","73","128","58","22","26","26","9","0","1%"
"Justin Steele","CHC","SP","85.9","81","6","0","3.58","1.18","34","78","23","9","16","15","4","0","9%"
"Jacob Lopez","ATH","SP","122.0","128","7","0","4.29","1.30","58","109","49","18","23","23","8","0","3%"
"Kyle Harrison","MIL","SP,RP","96.6","96","5","0","4.25","1.32","46","89","38","14","27","17","5","0","54%"
"Luis Gil","NYY","SP","102.0","101","6","0","4.37","1.34","50","87","50","14","38","14","5","0","2%"
"Grant Holmes","ATL","SP","129.9","129","8","0","4.24","1.33","61","124","50","17","33","21","7","0","18%"
"Matthew Liberatore","STL","SP","147.6","122","8","0","4.29","1.30","70","146","46","19","28","28","10","0","8%"
"Paul Sewald","ARI","RP","57.2","57","3","12","4.42","1.25","28","52","19","9","58","0","3","0","42%"
"Jeremiah Estrada","SD","RP","67.6","91","4","1","3.34","1.15","25","51","27","8","68","0","3","0","10%"
"Taylor Rogers","MIN","RP","58.1","61","3","16","4.14","1.34","27","53","25","7","60","0","3","0","1%"
"Garrett Cleavinger","TB","RP","63.1","78","4","7","3.41","1.15","24","49","24","7","66","0","3","0","6%"
"JoJo Romero","STL","RP","61.7","58","4","12","3.67","1.29","25","56","24","6","63","0","3","0","13%"
"Will Vest","DET","RP","66.7","67","4","6","3.41","1.20","25","59","21","6","66","0","3","0","4%"
"Kirby Yates","LAA","RP","55.8","67","3","11","4.02","1.28","25","45","26","8","57","0","3","0","4%"
"Robby Snelling","MIA","SP","86.4","77","5","0","4.15","1.34","40","85","31","11","16","16","6","0","6%"
"Taj Bradley","MIN","SP","138.9","132","8","0","4.32","1.30","67","132","49","19","31","25","8","0","71%"
"Victor Vodnik","COL","RP","62.8","59","3","19","4.31","1.46","30","62","30","7","61","0","4","0","3%"
"Jeffrey Springs","ATH","SP","162.4","138","9","0","4.62","1.32","83","162","52","27","29","29","10","0","28%"
"Kyle Finnegan","DET","RP","63.2","60","4","4","3.92","1.27","28","58","22","7","63","0","3","0","6%"
"Slade Cecconi","CLE","SP","152.9","127","8","0","4.47","1.26","76","154","40","25","28","28","10","0","4%"
"Chris Martin","TEX","RP","52.4","52","3","7","3.47","1.14","20","48","11","6","53","0","3","0","1%"
"Simeon Woods Richardson","MIN","SP","137.4","123","7","0","4.50","1.34","69","132","51","20","30","26","8","0","1%"
"Dustin May","STL","SP","147.5","131","8","0","4.33","1.31","71","139","54","18","30","25","9","0","11%"
"Jordan Romano","COL","RP","56.9","61","3","5","4.27","1.28","27","51","22","8","57","0","3","0","3%"
"Garrett Whitlock","BOS","RP","68.0","75","4","3","3.33","1.15","25","58","20","7","63","0","3","0","16%"
"Lucas Erceg","KC","RP","63.4","60","4","5","3.78","1.28","27","57","24","6","63","0","4","0","47%"
"Rhett Lowder","CIN","SP","114.2","88","6","0","4.57","1.36","58","118","37","16","28","20","7","0","5%"
"Tanner Scott","LAD","RP","63.2","72","4","4","3.55","1.22","25","52","25","7","63","0","3","0","36%"
"Eduardo Rodriguez","ARI","SP","133.9","119","8","0","4.42","1.37","66","135","48","18","28","24","8","0","39%"
"Matt Svanson","STL","RP","63.7","59","3","6","3.74","1.29","26","58","24","6","58","0","3","0","1%"
"Kevin Ginkel","ARI","RP","59.7","62","4","9","3.80","1.28","25","54","23","6","59","0","3","0","1%"
"Michael McGreevy","STL","SP","137.4","95","8","0","4.16","1.29","64","144","34","16","28","24","8","0","51%"
"Justin Sterner","ATH","RP","64.9","66","3","7","4.26","1.26","31","58","24","10","62","0","3","0","1%"
"Adrian Morejon","SD","RP","66.8","67","5","3","3.31","1.17","25","57","21","6","67","0","4","0","10%"
"Jose Berrios","TOR","SP","106.6","89","6","0","4.41","1.30","52","105","33","16","38","14","6","0","2%"
"Johan Oviedo","BOS","SP","95.9","92","5","0","4.30","1.34","46","88","41","12","32","15","5","0","0%"
"Braxton Garrett","MIA","SP","110.5","100","6","0","3.93","1.22","48","109","26","14","26","19","6","1","4%"
"Brandon Sproat","MIL","SP","87.6","74","5","0","4.22","1.33","41","83","34","10","29","14","5","0","5%"
"Luke Weaver","NYM","RP","65.5","70","4","5","3.97","1.21","29","58","22","9","61","0","3","0","5%"
"Robert Stephenson","LAA","RP","32.7","37","2","3","3.99","1.18","14","28","11","5","33","0","2","0","0%"
"Luis Morales","ATH","SP","113.7","101","6","0","4.59","1.36","58","108","46","17","27","20","7","0","0%"
"Spencer Schwellenbach","ATL","SP","72.8","70","5","0","3.52","1.12","28","66","16","9","12","12","3","0","21%"
"Landen Roupp","SF","SP","121.8","114","7","0","4.07","1.35","55","116","48","13","28","23","7","0","67%"
"Camilo Doval","NYY","RP","63.5","72","4","4","3.57","1.28","25","51","30","5","64","0","3","0","4%"
"Matt Brash","SEA","RP","61.6","73","3","3","3.23","1.21","22","50","24","5","62","0","3","0","6%"
"Jordan Leasure","CWS","RP","63.3","71","3","5","4.19","1.29","29","53","28","9","65","0","4","0","0%"
"Max Scherzer","TOR","SP","104.4","100","6","0","4.40","1.22","51","98","29","18","29","18","6","0","3%"
"Nick Martinez","TB","SP,RP","144.0","111","8","0","4.32","1.28","69","145","39","19","41","22","9","0","65%"
"Zack Littell","WSH","SP","145.6","108","7","0","4.54","1.26","74","152","31","24","26","25","9","0","2%"
"Payton Tolle","BOS","SP,RP","49.1","52","3","0","4.09","1.25","22","44","17","7","23","6","2","0","48%"
"Gregory Soto","PIT","RP","60.4","65","3","3","3.79","1.30","25","54","25","5","64","0","3","0","37%"
"Justin Verlander","DET","SP","141.3","117","8","0","4.42","1.31","69","139","46","20","26","26","8","0","3%"
"Cole Sands","MIN","SP,RP","67.0","65","4","4","3.93","1.23","29","62","20","8","65","0","3","0","1%"
"Jared Jones","PIT","SP","94.1","95","5","0","3.95","1.24","41","85","32","12","21","17","5","0","25%"
"Kumar Rocker","TEX","SP","97.8","88","5","0","4.22","1.29","46","95","32","13","30","17","6","0","3%"
"Foster Griffin","WSH","SP,RP","134.9","124","7","0","4.15","1.28","62","130","43","17","30","23","8","0","44%"
"Steven Matz","TB","SP,RP","122.5","103","6","0","4.17","1.28","57","123","33","17","34","20","7","0","15%"
"Michael Soroka","ARI","SP,RP","93.0","93","5","3","4.11","1.26","43","84","34","12","41","11","5","0","57%"
"Jose A. Ferrer","SEA","RP","67.7","64","4","3","3.22","1.17","24","59","20","5","67","0","3","0","3%"
"Justin Wrobleski","LAD","SP,RP","60.9","56","4","0","4.27","1.31","29","59","21","8","35","4","3","0","67%"
"Mark Leiter Jr.","ATH","RP","61.8","67","4","6","4.12","1.31","28","57","24","8","63","0","3","0","1%"
"Adrian Houser","SF","SP","143.9","104","8","0","4.35","1.37","70","149","48","16","26","26","9","0","2%"
"Hogan Harris","ATH","RP","66.3","64","3","11","4.39","1.40","32","61","31","8","57","0","3","0","6%"
"Matt Strahm","KC","RP","63.8","69","4","2","3.58","1.13","25","53","19","8","64","0","3","0","7%"
"Troy Melton","DET","SP,RP","55.0","51","3","0","4.10","1.26","25","52","18","8","31","5","3","0","2%"
"Tony Santillan","CIN","RP","68.1","72","3","4","4.21","1.33","32","60","30","9","69","0","3","0","9%"
"Kyle Leahy","STL","SP,RP","117.3","97","6","0","4.28","1.34","56","117","41","14","46","16","7","0","6%"
"Eric Lauer","LAD","SP,RP","66.9","62","4","0","4.31","1.28","32","63","22","10","41","4","3","0","2%"
"Lucas Giolito","SD","SP","111.8","101","7","0","4.63","1.37","58","110","44","17","22","20","7","0","11%"
"Didier Fuentes","ATL","SP,RP","43.1","41","3","0","4.47","1.32","21","42","15","7","28","4","3","0","5%"
"Jonah Tong","NYM","SP","30.7","34","2","0","3.59","1.25","12","25","13","3","11","5","2","0","3%"
"Phil Maton","CHC","RP","62.7","69","4","4","3.67","1.21","26","52","24","7","64","0","3","0","1%"
"Brad Keller","PHI","RP","66.6","61","4","2","4.05","1.33","30","62","27","7","61","0","3","0","7%"
"Andrew Kittredge","BAL","RP","59.6","60","4","4","3.73","1.19","25","55","16","8","60","0","3","0","1%"
"Calvin Faucher","MIA","RP","63.0","63","3","6","4.05","1.35","28","59","27","7","64","0","4","0","1%"
"Ben Joyce","LAA","RP","47.2","53","2","11","3.75","1.27","20","38","22","5","46","0","2","0","3%"
"Tyler Wells","BAL","SP,RP","68.1","61","4","0","4.27","1.18","32","63","18","12","43","4","4","0","1%"
"Shawn Armstrong","CLE","RP","66.9","66","3","3","3.80","1.21","28","60","21","8","66","0","3","0","1%"
"Tyler Rogers","TOR","RP","69.1","48","4","2","3.71","1.21","28","69","15","7","71","0","3","0","16%"
"Jacob Latz","TEX","SP,RP","101.3","97","5","0","4.35","1.38","49","91","49","13","44","11","5","0","23%"
"Hurston Waldrep","ATL","SP","58.5","50","4","0","4.41","1.42","29","57","26","7","11","11","4","0","2%"
"Carmen Mlodzinski","PIT","SP,RP","96.0","85","6","0","3.86","1.30","41","92","33","10","48","9","5","0","7%"
"Randy Vasquez","SD","SP","129.8","88","7","0","4.85","1.41","70","136","47","19","30","24","8","0","55%"
"Anthony Kay","CWS","SP,RP","133.0","111","6","0","4.50","1.39","67","132","53","18","36","21","9","1","3%"
"Dean Kremer","BAL","SP","115.5","98","7","0","4.40","1.30","57","114","36","17","31","18","7","0","4%"
"Cole Henry","WSH","RP","61.7","59","2","12","4.78","1.44","33","56","33","8","63","0","3","0","0%"
"Ben Brown","CHC","SP,RP","68.1","73","4","0","3.84","1.21","29","60","22","8","42","3","3","0","28%"
"Aaron Ashby","MIL","RP","74.0","76","4","1","3.74","1.36","31","65","36","6","59","2","4","0","30%"
"Jason Adam","SD","RP","56.2","60","3","1","3.49","1.17","22","45","21","6","56","0","3","0","15%"
"Ryan Weiss","HOU","SP,RP","83.0","80","4","0","4.31","1.32","40","77","32","11","37","9","5","0","0%"
"Louis Varland","TOR","RP","66.8","66","4","2","3.73","1.21","28","61","20","8","61","0","3","0","60%"
"Hunter Harvey","CHC","RP","51.6","56","3","4","3.41","1.13","20","43","15","5","51","0","2","0","1%"
"Lance McCullers Jr.","HOU","SP","99.1","96","5","0","4.55","1.44","50","93","49","13","27","18","6","0","6%"
"Jose Alvarado","PHI","RP","58.5","67","4","3","3.46","1.24","23","49","23","6","59","0","3","0","2%"
"Sean Burke","CWS","SP,RP","140.7","133","7","0","4.78","1.40","75","135","62","23","26","26","10","0","13%"
"Emerson Hancock","SEA","SP,RP","68.0","54","4","0","4.43","1.32","33","67","23","10","35","7","3","0","82%"
"Spencer Arrighetti","HOU","SP","91.7","91","5","0","4.60","1.37","47","85","40","14","25","15","6","0","52%"
