"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Ryan Yarbrough","NYY","SP,RP","62.2","50","3","0","4.37","1.26","30","60","19","9","42","2","3","0","0%"
"Noah Schultz","CWS","SP","21.7","19","1","0","4.65","1.46","11","22","10","3","4","4","2","0","18%"
"Tim Herrin","CLE","RP","52.9","54","3","0","3.84","1.33","23","46","25","5","56","0","3","0","0%"
"Carter Baumler","TEX","SP,RP","47.0","41","2","0","4.60","1.42","24","45","22","6","45","0","2","0","0%"
"Danny Coulombe","BOS","RP","50.3","49","3","0","3.81","1.26","21","45","18","6","54","0","2","0","0%"
"Taylor Clarke","ARI","RP","58.7","48","3","1","4.32","1.29","28","59","17","8","56","0","3","0","2%"
"Brusdar Graterol","LAD","RP","40.7","34","3","0","3.45","1.19","16","37","11","3","40","0","1","0","0%"
"Gage Jump","ATH","SP","42.5","35","2","0","4.41","1.34","21","42","15","6","9","9","3","0","1%"
"Ryan Bergert","KC","SP","52.3","43","2","0","4.75","1.41","28","52","21","8","20","8","3","0","0%"
"Sam Bachman","LAA","RP","48.5","41","2","1","4.46","1.45","24","47","23","5","47","0","3","0","1%"
"Ricky Tiedemann","TOR","SP","16.6","17","1","0","4.30","1.40","8","15","8","2","10","2","1","0","1%"
"Cole Sulser","TB","RP","51.9","48","3","0","4.12","1.30","24","49","19","7","49","0","3","0","1%"
"Nick Mears","KC","RP","59.5","57","3","0","4.16","1.30","28","55","23","7","61","0","3","0","0%"
"Brock Burke","CIN","RP","61.7","56","3","1","4.21","1.31","29","60","21","8","63","0","3","0","1%"
"Ryan Zeferjahn","LAA","RP","59.9","67","3","1","4.42","1.38","29","52","31","9","60","0","3","0","1%"
"Stephen Kolek","KC","SP","67.9","47","4","0","4.35","1.37","33","72","22","7","30","8","4","0","4%"
"Wandy Peralta","SD","RP","58.1","50","3","0","3.85","1.34","25","53","24","6","60","0","3","0","0%"
"Julian Fernandez","WSH","RP","35.1","35","2","0","4.12","1.28","16","32","13","5","34","0","2","0","0%"
"Jack Kochanowicz","LAA","SP","75.4","48","3","0","5.02","1.49","42","83","29","10","30","10","5","0","7%"
"Jalen Beeks","TEX","RP","55.1","49","3","0","4.01","1.33","25","52","22","6","56","0","3","0","0%"
"Yoendrys Gomez","MIN","SP,RP","53.0","53","3","0","4.34","1.31","26","48","22","8","36","3","3","0","0%"
"Brent Headrick","NYY","RP","47.1","48","2","0","4.04","1.23","21","42","16","7","42","0","2","0","2%"
"Michael Kopech","","RP","33.7","37","2","0","4.56","1.42","17","28","20","5","33","0","2","0","0%"
"DL Hall","MIL","SP,RP","52.8","50","3","0","4.14","1.35","24","48","24","6","45","0","2","0","1%"
"Enyel De Los Santos","HOU","RP","59.1","57","3","0","4.31","1.29","28","54","22","9","59","0","3","0","2%"
"Kevin Kelly","TB","RP","44.6","39","2","0","3.85","1.19","19","42","11","5","44","0","2","0","10%"
"David Morgan","SD","RP","58.3","60","3","0","4.13","1.31","27","52","25","7","55","0","3","0","0%"
"Sawyer Gipson-Long","DET","SP,RP","29.7","27","1","0","4.09","1.21","13","28","8","4","20","2","2","0","0%"
"Hunter Bigge","TB","RP","47.7","49","2","0","4.17","1.33","22","43","21","7","45","0","2","0","0%"
"Jacob Webb","CHC","RP","54.5","51","3","0","4.26","1.29","26","49","22","7","54","0","3","0","1%"
"Luinder Avila","KC","RP","34.0","29","2","0","4.28","1.39","16","32","15","4","31","0","2","0","0%"
"Drey Jameson","ARI","RP","29.0","26","1","0","4.21","1.37","14","28","12","4","25","0","1","0","0%"
"Jovani Moran","BOS","RP","46.4","50","3","0","3.81","1.32","20","41","20","5","45","0","2","0","0%"
"Jose Suarez","ATH","RP","49.1","47","2","0","4.24","1.32","23","48","17","6","35","2","3","0","0%"
"Tanner McDougal","CWS","SP","39.8","35","2","0","4.64","1.45","21","39","19","5","16","6","2","0","0%"
"Jonathan Bowlan","PHI","RP","55.8","53","3","0","4.14","1.29","26","52","19","7","50","0","3","0","0%"
"Charlie Morton","","SP,RP","62.1","63","3","0","4.80","1.46","33","61","29","10","12","12","4","0","14%"
"Mason Fluharty","TOR","RP","42.4","44","2","0","3.99","1.29","19","37","18","5","43","0","2","0","1%"
"Alek Manoah","LAA","SP","58.1","50","3","0","5.01","1.42","32","58","25","9","11","11","4","0","0%"
