player_id,player_name,eligible_positions,adp,points
Matthew_Liberatore_P,Matthew Liberatore_P,SP,351.0,584.94
Brandon_Marsh_H,Brandon Marsh_H,OF,351.5,544.9
Jesus_Sanchez_H,Jesus Sanchez_H,OF;Util,353.0,458.5
Isaac_Collins_H,Isaac Collins_H,OF,353.7,453.3
Edgar_Quero_H,Edgar Quero_H,C;Util,354.0,414.6
Bo_Naylor_H,Bo Naylor_H,C,355.5,443.2
Justin_Sterner_P,Justin Sterner_P,RP,355.7,301.46
Jeffrey_Springs_P,Jeffrey Springs_P,SP,357.0,568.46
Luis_Severino_P,Luis Severino_P,SP,357.3,614.72
Moises_Ballesteros_H,Moises Ballesteros_H,C;Util,359.3,370.4
Lucas_Giolito_P,Lucas Giolito_P,SP,360.7,402.22
Dominic_Canzone_H,Dominic Canzone_H,OF;Util,360.8,431.8
Mike_Yastrzemski_H,Mike Yastrzemski_H,OF,361.8,479.2
Adrian_Morejon_P,Adrian Morejon_P,RP,362.0,358.32
Justin_Verlander_P,Justin Verlander_P,SP,362.0,534.22
Matt_Svanson_P,Matt Svanson_P,RP,362.0,322.78
Austin_Hays_H,Austin Hays_H,OF;Util,363.3,468.0
Grant_Holmes_P,Grant Holmes_P,SP,364.6,537.76
Grant_Taylor_P,Grant Taylor_P,SP;RP,366.0,492.28
Jonah_Tong_P,Jonah Tong_P,SP,366.0,154.28
Mick_Abel_P,Mick Abel_P,SP,366.3,429.16
Jake_Mangum_H,Jake Mangum_H,OF,367.3,321.7
Andrew_Benintendi_H,Andrew Benintendi_H,OF;Util,371.5,515.9
Victor_Vodnik_P,Victor Vodnik_P,RP,372.0,340.42
Nolan_Gorman_H,Nolan Gorman_H,2B;3B;Util,373.0,502.2
JoJo_Romero_P,JoJo Romero_P,RP,373.8,341.18
Taj_Bradley_P,Taj Bradley_P,SP,374.0,567.96
Johan_Oviedo_P,Johan Oviedo_P,SP,374.7,394.26
Josh_Bell_H,Josh Bell_H,1B;Util,376.0,610.9
Slade_Cecconi_P,Slade Cecconi_P,SP,376.0,557.56
Taylor_Rogers_P,Taylor Rogers_P,RP,376.5,333.04
Chase_Meidroth_H,Chase Meidroth_H,2B;3B;SS,376.7,521.7
Trevor_Larnach_H,Trevor Larnach_H,OF;Util,378.0,456.6
Simeon_Woods_Richardson_P,Simeon Woods Richardson_P,SP,379.0,520.56
Jordan_Walker_H,Jordan Walker_H,OF,379.3,489.2
