player_id,player_name,eligible_positions,adp,points
Mickey_Moniak_H,Mickey Moniak_H,OF;Util,238.3,304.0
Austin_Wells_H,Austin Wells_H,C,238.4,255.0
TJ_Friedl_H,TJ Friedl_H,OF,239.6,343.0
Joe_Musgrove_P,Joe Musgrove_P,SP,241.6,426.7
Ryne_Nelson_P,Ryne Nelson_P,SP;RP,244.8,456.6
Kyle_Manzardo_H,Kyle Manzardo_H,1B;Util,245.0,320.5
Kodai_Senga_P,Kodai Senga_P,SP,245.8,400.4
Dylan_Crews_H,Dylan Crews_H,OF,246.2,286.0
Jack_Leiter_P,Jack Leiter_P,SP,246.2,459.7
Noah_Cameron_P,Noah Cameron_P,SP,246.6,434.1
Roki_Sasaki_P,Roki Sasaki_P,SP,248.2,345.4
Kevin_McGonigle_H,Kevin McGonigle_H,3B;SS,248.4,311.5
Jung_Hoo_Lee_H,Jung Hoo Lee_H,OF,249.2,350.5
Xander_Bogaerts_H,Xander Bogaerts_H,SS,249.6,342.0
Francisco_Alvarez_H,Francisco Alvarez_H,C,251.4,252.0
Colton_Cowser_H,Colton Cowser_H,OF,253.0,284.0
Seranthony_Dominguez_P,Seranthony Dominguez_P,RP,255.6,295.9
Luis_Garcia_H,Luis Garcia_H,1B;2B;Util,257.2,322.5
Ernie_Clement_H,Ernie Clement_H,1B;2B;3B;SS,257.4,329.0
Jordan_Beck_H,Jordan Beck_H,OF,259.0,311.0
Dillon_Dingler_H,Dillon Dingler_H,C;Util,259.4,228.5
Shane_Smith_P,Shane Smith_P,SP,260.8,462.2
Shane_Bieber_P,Shane Bieber_P,SP,261.2,357.5
Kyle_Teel_H,Kyle Teel_H,C,263.6,217.0
Logan_O_Hoppe_H,Logan O'Hoppe_H,C,266.4,232.0
Jake_Burger_H,Jake Burger_H,1B,267.0,328.5
Andrew_Vaughn_H,Andrew Vaughn_H,1B,269.0,327.5
Connelly_Early_P,Connelly Early_P,SP,269.2,148.1
Yusei_Kikuchi_P,Yusei Kikuchi_P,SP,269.6,508.0
Otto_Lopez_H,Otto Lopez_H,2B;SS,270.2,344.0
Spencer_Steer_H,Spencer Steer_H,1B;OF,271.4,262.5
Ryan_Weathers_P,Ryan Weathers_P,SP,271.8,356.7
Chase_DeLauter_H,Chase DeLauter_H,OF;Util,272.6,267.0
Clay_Holmes_P,Clay Holmes_P,SP,273.6,453.9
Braxton_Ashcraft_P,Braxton Ashcraft_P,SP;RP,274.8,399.0
Tyler_Stephenson_H,Tyler Stephenson_H,C,275.0,234.5
Ryan_O_Hearn_H,Ryan O'Hearn_H,1B;OF;Util,275.4,311.5
Cody_Ponce_P,Cody Ponce_P,SP;RP,276.8,454.5
Bryce_Miller_P,Bryce Miller_P,SP,277.0,426.8
Mike_Burrows_P,Mike Burrows_P,SP;RP,280.0,404.9
Casey_Mize_P,Casey Mize_P,SP,280.8,427.9
Grayson_Rodriguez_P,Grayson Rodriguez_P,SP,281.8,344.2
Justin_Crawford_H,Justin Crawford_H,OF,284.4,260.5
Bailey_Ober_P,Bailey Ober_P,SP,284.6,461.6
Joey_Cantillo_P,Joey Cantillo_P,SP;RP,286.2,423.8
Willi_Castro_H,Willi Castro_H,2B;3B;SS;OF,287.2,294.0
Marcell_Ozuna_H,Marcell Ozuna_H,Util,288.0,334.5
Mark_Vientos_H,Mark Vientos_H,1B;3B;Util,288.2,266.5
Miguel_Vargas_H,Miguel Vargas_H,1B;3B,289.0,349.0
Evan_Carter_H,Evan Carter_H,OF,289.2,277.5
Sean_Manaea_P,Sean Manaea_P,SP;RP,290.6,390.6
Masyn_Winn_H,Masyn Winn_H,SS,291.2,357.0
Andrew_Painter_P,Andrew Painter_P,SP,292.0,310.8
